sym_idx,demod_I,demod_Q,locked
448,790,-1892,1
449,-1860,-812,1
450,-1551,1538,1
451,-1528,-1560,1
452,-1498,1621,1
453,1935,781,1
454,929,-1812,1
455,1587,1512,1
456,-470,-2000,1
457,1516,1526,1
458,1443,1557,1
459,-569,-630,1
460,-1494,-1531,1
461,-829,1797,1
462,-2043,520,1
463,769,-1896,1
464,-1467,-1528,1
465,1915,741,1
466,1497,-1493,1
467,-1965,514,1
468,-726,599,1
469,1375,1573,1
470,473,725,1
471,-585,521,1
472,649,-558,1
473,1488,-1498,1
474,-405,-2033,1
475,1514,-1454,1
476,-1836,-814,1
477,1837,-448,1
478,1356,1563,1
479,-1499,1449,1
480,1980,-515,1
481,-791,1897,1
482,-670,-712,1
483,1856,794,1
484,495,-2041,1
485,-1396,-1528,1
486,1943,779,1
487,1403,1511,1
488,-496,-1888,1
489,631,740,1
490,499,1980,1
491,629,680,1
492,565,1991,1
493,-686,615,1
494,-813,1988,1
495,-575,-1813,1
496,-1511,1392,1
497,-777,1957,1
498,-1976,-819,1
499,-824,639,1
500,641,-1949,1
501,-1959,-798,1
502,710,-1931,1
503,1894,-451,1
504,620,-520,1
505,639,661,1
506,574,759,1
507,-1927,-756,1
508,508,1958,1
509,-509,-1914,1
510,-550,-2027,1
511,-1961,571,1
512,1965,-544,1
513,1368,1523,1
514,657,-608,1
515,1540,-1344,1
516,-745,1921,1
517,-1894,-637,1
518,1545,-1344,1
519,-1892,541,1
520,1356,1537,1
521,1627,-1265,1
522,1334,1559,1
523,-2044,474,1
524,574,1980,1
525,644,-563,1
526,-753,590,1
527,1957,-562,1
528,1919,809,1
529,753,-1887,1
530,1630,-1278,1
531,-572,-2016,1
532,2033,-578,1
533,714,-1961,1
534,-642,-750,1
535,1580,-1332,1
536,-1602,1322,1
537,512,1987,1
538,-1617,1309,1
539,560,-2037,1
540,1973,712,1
541,1908,810,1
542,664,-614,1
543,-721,621,1
544,614,614,1
545,-1987,602,1
546,1617,-1333,1
547,-1602,1346,1
548,-651,-674,1
549,-1992,570,1
550,-1379,-1575,1
551,-790,616,1
552,1877,-570,1
553,-1329,-1643,1
554,-716,1871,1
555,-727,667,1
556,591,1974,1
557,1890,783,1
558,-1895,598,1
559,2016,-555,1
560,-1977,573,1
561,-688,-598,1
562,-1912,-722,1
563,1626,-1392,1
564,-1958,626,1
565,707,630,1
566,-1750,1314,1
567,703,-1885,1
568,-1895,571,1
569,531,764,1
570,1900,639,1
571,-603,-727,1
572,-620,-682,1
573,-633,575,1
574,1954,-507,1
575,-1683,1399,1
576,-2015,517,1
577,672,588,1
578,-564,-1909,1
579,1973,647,1
580,1380,1747,1
581,1855,674,1
582,1456,1657,1
583,700,-1855,1
584,-641,686,1
585,643,-599,1
586,1887,734,1
587,712,-1865,1
588,-633,-1954,1
589,-715,664,1
590,-2032,-587,1
591,-563,-1911,1
592,-620,1936,1
593,1962,-558,1
594,-695,1930,1
595,1427,1830,1
596,-1895,591,1
597,-1841,1447,1
598,1827,-1456,1
599,1930,-1409,1
600,-549,-609,1
601,1755,-1515,1
602,595,-1905,1
603,-724,581,1
604,-1474,-1866,1
605,-667,1935,1
606,1803,-1526,1
607,-1557,-1718,1
608,-664,-1930,1
609,628,652,1
610,1564,1791,1
611,628,-610,1
612,-1921,-707,1
613,-1989,694,1
614,-622,670,1
615,-649,-1891,1
616,-1943,-647,1
617,673,1922,1
618,676,700,1
619,1900,734,1
620,668,1974,1
621,572,688,1
622,1817,-1621,1
623,-1982,557,1
624,-1589,-1905,1
625,508,-1936,1
626,-1976,578,1
627,618,690,1
628,633,-1937,1
629,-653,-696,1
630,-1949,-655,1
631,-586,534,1
632,1877,-1675,1
633,634,1898,1
634,696,-1939,1
635,604,679,1
636,658,-1953,1
637,715,-1936,1
638,1713,1883,1
639,642,1850,1
640,-647,1965,1
641,607,-1970,1
642,1948,569,1
643,-1953,1738,1
644,643,-1963,1
645,-666,629,1
646,713,694,1
647,-679,-664,1
648,590,-680,1
649,-647,-1983,1
650,-679,717,1
651,-1909,1827,1
652,1949,-654,1
653,616,1982,1
654,1984,589,1
655,-554,-1940,1
656,-577,-1839,1
657,-1942,1864,1
658,1990,-646,1
659,-1855,-2014,1
660,-630,591,1
661,1822,-1916,1
662,-1884,1899,1
663,-1966,-624,1
664,-1949,566,1
665,666,1934,1
666,620,657,1
667,1980,-1951,1
668,-1938,-1907,1
669,635,-586,1
670,688,-1849,1
671,-1954,592,1
672,681,763,1
673,-1898,709,1
674,-639,1907,1
675,1889,727,1
676,-656,639,1
677,1964,593,1
678,-1828,622,1
679,683,-1887,1
680,-1870,-1878,1
681,1921,-1957,1
682,-1917,681,1
683,1852,-578,1
684,-547,722,1
685,1944,1999,1
686,-1886,-681,1
687,690,1862,1
688,-1953,1939,1
689,655,-1963,1
690,-662,662,1
691,-1909,625,1
692,1860,645,1
693,-585,668,1
694,-572,-1907,1
695,-622,-1967,1
696,-1898,-1911,1
697,1890,1911,1
698,1904,698,1
699,672,600,1
700,1866,-1928,1
701,1927,1865,1
702,2014,632,1
703,-2013,1851,1
704,1978,-681,1
705,661,-672,1
706,1890,683,1
707,1916,607,1
708,617,-682,1
709,-1780,1944,1
710,-612,-716,1
711,-740,-634,1
712,1780,-1952,1
713,-1956,642,1
714,-1934,611,1
715,-1969,-661,1
716,655,-1840,1
717,2017,675,1
718,731,-1976,1
719,1855,1753,1
720,-2019,-624,1
721,-1939,-659,1
722,-627,1912,1
723,-600,-680,1
724,-1900,-599,1
